time,gFx,gFy,gFz,ax,ay,az,Latitude,Longitude,Speed (m/s),Altitude (m),
0.099033,-0.0665,0.3840,0.9460,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
0.198899,-0.0596,0.3821,0.9010,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
0.299432,-0.0371,0.3694,1.0124,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
0.399611,-0.0410,0.3743,0.9704,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
0.499393,-0.0459,0.3938,0.8903,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
0.599606,-0.0362,0.3909,0.9528,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
0.699749,-0.0586,0.3968,0.9147,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
0.799877,-0.0479,0.3821,0.9293,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
0.899992,-0.0577,0.3792,0.9499,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.000151,-0.0625,0.3831,0.9069,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.100628,-0.0430,0.3850,0.9411,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.200606,-0.0459,0.3840,0.9381,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.300748,-0.0469,0.3840,0.9254,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.401179,-0.0606,0.3948,0.9078,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.501119,-0.0596,0.3831,0.9284,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.601285,-0.0430,0.3772,0.9538,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.701414,-0.0547,0.3782,0.9342,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.801553,-0.0508,0.3850,0.9186,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
1.902861,-0.0596,0.3860,0.9284,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
2.003334,-0.0401,0.3782,0.9245,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
2.103308,-0.0381,0.3538,0.9362,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
2.204414,-0.0293,0.3626,0.9675,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
2.304907,-0.0479,0.3831,0.9303,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
2.403992,-0.0567,0.3684,0.9284,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
2.506017,-0.0498,0.3655,0.9479,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
2.605523,-0.0635,0.3616,0.9528,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
2.705697,-0.0596,0.3635,0.9362,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
2.806685,-0.0635,0.3586,0.9547,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
2.906970,-0.0391,0.3606,0.9821,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
3.006857,-0.0410,0.3762,0.9098,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
3.107678,-0.0489,0.3665,0.9245,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
3.209039,-0.0381,0.3753,0.9577,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
3.308611,-0.0430,0.3821,0.9440,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
3.408834,-0.0704,0.3762,0.9186,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
3.509357,-0.0430,0.3753,0.9381,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
3.609452,-0.0596,0.3626,0.9557,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
3.709954,-0.0577,0.3586,0.9528,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
3.810721,-0.0557,0.3674,0.9284,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
3.911325,-0.0557,0.3567,0.9420,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
4.011852,-0.0586,0.3508,0.9450,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
4.111916,-0.0479,0.3694,0.9225,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
4.213290,-0.0528,0.3547,0.9684,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
4.313875,-0.0410,0.3498,0.9430,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
4.413691,-0.0547,0.3498,0.9333,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
4.513990,-0.0420,0.3518,0.9460,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
4.615048,-0.0381,0.3498,0.9499,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
4.715299,-0.0381,0.3430,0.9538,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
4.815445,-0.0469,0.3430,0.9391,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
4.915951,-0.0274,0.3283,0.9714,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
5.016188,-0.0235,0.3371,0.9557,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
5.116778,-0.0274,0.3440,0.9587,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
5.217255,-0.0039,0.3362,0.9762,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
5.317774,-0.0107,0.3459,0.9411,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
5.423968,-0.0068,0.3147,0.9938,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
5.517999,-0.0137,0.3323,0.9743,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
5.618967,-0.0049,0.3362,0.9547,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
5.719262,-0.0205,0.3352,0.9626,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
5.819575,-0.0156,0.3264,0.9665,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
5.920383,-0.0283,0.3381,0.9411,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
6.021009,-0.0098,0.3274,0.9733,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
6.121052,-0.0235,0.3176,0.9567,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
6.222521,-0.0293,0.3186,0.9645,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
6.322949,-0.0440,0.3020,0.9684,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,0.00000000,
